customer_id,customer_name,customer_contact_no,customer_email
10001,Abdul Hamid,01711447788,hamid@gmail.com
10002,Kamal khan,01912447788,kamal@yahoo.com
10003,Jamshed Jamil ,01674125896,jamil@gmail.com
10004,Jalal Khan,01722558899,khh@gmail.com
10005,Kamal Khan,01841225588,kamal@gmail.com
10006,Mushfiqur Rahman,01867381390,mushfiq@gmail.com
10007,Saadat Nafi,01867452312,nafi12@gmail.com
10008,Rahat Reza,01676519711,rahar.reza@gmail.com
10009,Emon Tariqul,01912986543,tariq@yahoo.com
10010,Maimun Alamin,01723671543,maimun@gmail.com
10011,Muna,01867381342,muna@yahoo.com
